ID,Class
0,siren
1,street_music
2,drilling
3,siren
4,dog_bark
6,children_playing
10,street_music
11,drilling
15,dog_bark
17,engine_idling
18,siren
20,engine_idling
22,air_conditioner
24,air_conditioner
26,engine_idling
27,siren
32,children_playing
33,jackhammer
36,siren
37,jackhammer
38,street_music
40,jackhammer
42,engine_idling
43,siren
44,children_playing
45,jackhammer
46,engine_idling
47,air_conditioner
49,drilling
50,siren
54,children_playing
56,children_playing
60,siren
63,drilling
65,street_music
66,jackhammer
67,children_playing
68,dog_bark
71,dog_bark
72,street_music
74,street_music
76,jackhammer
77,air_conditioner
79,jackhammer
81,jackhammer
82,street_music
84,street_music
87,children_playing
88,car_horn
90,siren
91,jackhammer
92,siren
93,street_music
97,dog_bark
99,jackhammer
100,air_conditioner
103,air_conditioner
104,jackhammer
105,street_music
113,street_music
114,air_conditioner
117,engine_idling
118,street_music
119,drilling
120,street_music
121,jackhammer
125,engine_idling
128,jackhammer
132,street_music
134,children_playing
135,engine_idling
136,drilling
138,drilling
140,jackhammer
142,jackhammer
146,drilling
149,siren
152,children_playing
153,jackhammer
159,siren
160,dog_bark
162,siren
164,dog_bark
165,air_conditioner
167,dog_bark
170,dog_bark
171,engine_idling
172,children_playing
176,car_horn
178,jackhammer
182,siren
184,jackhammer
185,street_music
186,engine_idling
187,drilling
188,engine_idling
189,children_playing
192,air_conditioner
193,air_conditioner
197,children_playing
200,jackhammer
208,drilling
211,siren
212,engine_idling
213,siren
214,street_music
216,drilling
217,dog_bark
219,drilling
221,dog_bark
222,jackhammer
223,children_playing
224,dog_bark
226,air_conditioner
227,engine_idling
228,engine_idling
229,children_playing
230,street_music
232,jackhammer
233,children_playing
235,engine_idling
239,drilling
242,engine_idling
245,dog_bark
246,siren
247,street_music
248,siren
249,siren
250,children_playing
251,jackhammer
252,dog_bark
253,siren
255,children_playing
258,jackhammer
260,children_playing
263,jackhammer
264,air_conditioner
269,jackhammer
270,drilling
271,drilling
275,jackhammer
